Title,Subtitle,DateTime
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,Second Reading,2021-06-03 16:39:57
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,Instruction to Transport and Infrastructure Committee,2021-06-02 17:28:18
FAIR TRADING AMENDMENT BILL,Second Reading,2021-06-02 17:39:39
HEALTH (NATIONAL CERVICAL SCREENING PROGRAMME) AMENDMENT BILL,Second Reading,2021-06-02 20:08:42
"BUILDING (BUILDING PRODUCTS AND METHODS, MODULAR COMPONENTS, AND OTHER MATTERS) AMENDMENT BILL",Third Reading,2021-06-02 21:31:19
MINISTERIAL STATEMENTS,Canterbury Flooding—Government Response,2021-06-01 14:01:37
URGENT DEBATES DECLINED,Ransomware Attack—Waikato District Health Board,2021-06-01 14:53:56
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,First Reading,2021-06-01 20:38:36
TAXATION (BUDGET 2021 AND REMEDIAL MEASURES) BILL,Third Reading,2021-05-20 09:00:13
COVID-19 PUBLIC HEALTH RESPONSE (VALIDATION OF MANAGED ISOLATION AND QUARANTINE CHARGES) AMENDMENT BILL,First Reading,2021-05-21 09:22:02
AMENDMENT BILL,First Reading,2021-05-21 11:38:26
APPROPRIATION (2021/22 ESTIMATES) BILL,First Reading,2021-05-20 14:03:21
BUDGET STATEMENT,Second Reading,2021-05-20 14:04:28
TAXATION (BUDGET 2021 AND REMEDIAL MEASURES) BILL,First Reading,2021-05-20 16:18:10
MOTIONS,Recognition of the State of Palestine—Leave Declined,2021-05-19 14:02:07
URGENT DEBATES DECLINED,Nationwide Roll-out,2021-05-19 14:50:28
OVERSEAS INVESTMENT AMENDMENT BILL (NO 3),Third Reading,2021-05-19 17:05:14
PLANT VARIETY RIGHTS BILL,First Reading,2021-05-19 19:58:23
HOLIDAYS (INCREASING SICK LEAVE) AMENDMENT BILL,Third Reading,2021-05-19 20:34:39
FAIR TRADING AMENDMENT BILL,Second Reading,2021-05-19 21:54:36
HOLIDAYS (INCREASING SICK LEAVE) AMENDMENT BILL,In Committee,2021-05-18 15:25:49
"BUILDING (BUILDING PRODUCTS AND METHODS, MODULAR COMPONENTS, AND OTHER MATTERS) AMENDMENT BILL",In Committee,2021-05-18 16:46:10
REGIONAL COMPREHENSIVE ECONOMIC PARTNERSHIP (RCEP) LEGISLATION BILL,First Reading,2021-05-18 17:37:09
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL (NO 2),First Reading,2021-05-18 19:36:31
PLANT VARIETY RIGHTS BILL,First Reading,2021-05-18 21:09:49
SPECIAL DEBATES,Petitions Committee,2021-05-13 14:48:35
OVERSEAS INVESTMENT AMENDMENT BILL (NO 3),Second Reading,2021-05-13 15:43:18
REGIONAL COMPREHENSIVE ECONOMIC PARTNERSHIP (RCEP) LEGISLATION BILL,First Reading,2021-05-13 16:23:49
SPEAKER'S RULINGS,"Allegations of Racism—Use of Word ""Racist""",2021-05-12 14:53:51
DISTRICT COURT (PROTECTION OF JUDGMENT DEBTORS WITH DISABILITIES) AMENDMENT BILL,Second Reading,2021-05-12 16:13:12
RIGHTS FOR VICTIMS OF INSANE OFFENDERS BILL,Second Reading,2021-05-12 17:47:06
ELECTORAL (INTEGRITY REPEAL) AMENDMENT BILL,Second Reading,2021-05-12 20:40:00
OBITUARIES,Rana Waitai,2021-05-11 14:01:19
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 7 to Minister, 7 April",2021-05-11 14:03:11
ANNUAL REVIEW DEBATE,In Committee,2021-05-11 15:03:23
APPROPRIATION (2019/20 CONFIRMATION AND VALIDATION) BILL,Third Reading,2021-05-11 21:16:57
OVERSEAS INVESTMENT AMENDMENT BILL (NO 3),Second Reading,2021-05-11 21:18:16
IMMIGRATION (COVID-19 RESPONSE) AMENDMENT BILL,Third Reading,2021-05-06 14:46:18
EDUCATION AND TRAINING AMENDMENT BILL,First Reading,2021-05-06 16:05:52
MOTIONS,Members' Notice of Motion No. 1—Amendment,2021-05-05 14:02:11
SPEAKER'S RULINGS,Written Questions—Timeliness of Replies,2021-05-05 14:03:29
MOTIONS,No Confidence in Speaker—Leave Declined,2021-05-05 15:02:38
COUNTER-TERRORISM LEGISLATION BILL,First Reading,2021-05-05 19:00:34
HOLIDAYS (INCREASING SICK LEAVE) AMENDMENT BILL,Second Reading,2021-05-05 19:54:07
FINANCIAL MARKET INFRASTRUCTURES BILL,Third Reading,2021-05-05 21:26:20
URGENT DEBATES DECLINED,Ihumātao—Findings of the Controller and Auditor-General on Purchase of Land,2021-05-04 14:54:42
IMMIGRATION (COVID-19 RESPONSE) AMENDMENT BILL,Second Reading,2021-05-04 14:54:47
ANNUAL REVIEW DEBATE,In Committee,2021-05-04 16:00:52
FINANCIAL MARKET INFRASTRUCTURES BILL,Third Reading,2021-05-04 21:49:33
POINTS OF ORDER,House Dress Code—Branded Apparel,2021-04-15 14:02:13
OFFICES OF PARLIAMENT,Address to Governor-General,2021-04-15 15:23:32
FINANCIAL SECTOR (CLIMATE-RELATED DISCLOSURES AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-04-15 15:36:09
URGENT DEBATES DECLINED,COVID-19—Evidence Given to Health Committee,2021-04-14 15:02:45
URGENT DEBATES,Air New Zealand—Minister of Finance's Letter of Expectation,2021-04-14 15:04:09
POINTS OF ORDER,Urgent Debates—Grounds for Acceptance,2021-04-14 15:04:40
URGENT DEBATES,Air New Zealand—Minister of Finance's Letter of Expectation,2021-04-14 15:06:30
POLICING (KILLING A POLICE DOG) AMENDMENT BILL,First Reading,2021-04-14 21:28:59
HOLIDAYS (PARENT-TEACHER INTERVIEW LEAVE) AMENDMENT BILL,First Reading,2021-04-14 21:50:54
OBITUARIES,"His Royal Highness Prince Philip, Duke of Edinburgh",2021-04-13 14:01:16
IMMIGRATION (COVID-19 RESPONSE) AMENDMENT BILL,First Reading,2021-04-08 14:46:30
FINANCIAL MARKET INFRASTRUCTURES BILL,Third Reading,2021-04-08 16:50:00
URGENT DEBATES,COVID-19—Trans-Tasman Travel Bubble,2021-04-07 14:59:34
ADVERSE WEATHER-AFFECTED TIMBER RECOVERY ON CONSERVATION LANDS BILL,First Reading,2021-04-07 17:24:40
ACCIDENT COMPENSATION (NOTICE OF DECISIONS) AMENDMENT BILL,First Reading,2021-04-07 19:12:16
SUNSCREEN (PRODUCT SAFETY STANDARD) BILL,First Reading,2021-04-07 20:10:41
POLICING (KILLING A POLICE DOG) AMENDMENT BILL,First Reading,2021-04-07 21:13:30
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 10 to Minister, 25 March",2021-04-06 14:09:01
URGENT DEBATES DECLINED,Office of the Director of Mental Health and Addiction Services—Annual Report,2021-04-06 14:56:40
NGĀTI HINERANGI CLAIMS SETTLEMENT BILL,In Committee,2021-04-06 14:59:19
LOCAL GOVERNMENT (RATING OF WHENUA MĀORI) AMENDMENT BILL,Third Reading,2021-04-06 16:29:01
FINANCIAL MARKET INFRASTRUCTURES BILL,In Committee,2021-04-06 16:30:05
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,First Reading,2021-04-06 16:59:56
INCORPORATED SOCIETIES BILL,First Reading,2021-04-06 19:00:26
SOCIAL SECURITY (SUBSEQUENT CHILD POLICY REMOVAL) AMENDMENT BILL,First Reading,2021-04-06 20:08:17
SPECIAL DEBATES,Local Issues,2021-03-25 14:49:01
AMENDMENT BILL,Third Reading,2021-03-25 15:50:16
MOTIONS,J-Force Arrival in Japan—75th Anniversary,2021-03-24 14:01:00
SPEAKER'S RULINGS,Government Order of the Day—Motion to Discharge,2021-03-24 14:01:55
AMENDMENT BILL (NO 2),Third Reading,2021-03-24 15:50:57
LAWYERS AND CONVEYANCERS (EMPLOYED LAWYERS PROVIDING FREE LEGAL SERVICES) AMENDMENT BILL,First Reading,2021-03-24 17:10:18
LAWYERS AND CONVEYANCERS (EMPLOYED LAWYERS PROVIDING FREE LEGAL SERVICES) AMENDMENT BILL,First Reading,2021-03-24 19:22:52
COMPANIES (LIMITED PARTNERSHIPS IDENTICAL NAMES PROHIBITION) AMENDMENT BILL,First Reading,2021-03-24 19:49:12
CORRECTIONS (SCHOOL NOTIFICATION OF SEX OFFENDERS) AMENDMENT BILL,First Reading,2021-03-24 20:40:03
ADVERSE WEATHER-AFFECTED TIMBER RECOVERY ON CONSERVATION LANDS BILL,First Reading,2021-03-24 21:43:14
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",Third Reading,2021-03-24 09:00:18
REGULATORY SYSTEMS (TRANSPORT) AMENDMENT BILL,In Committee,2021-03-24 10:27:20
REGULATORY SYSTEMS (TRANSPORT) AMENDMENT BILL,In Committee,2021-03-24 10:27:21
URGENT DEBATES DECLINED,COVID-19—Trans-Tasman Travel Bubble,2021-03-23 14:49:02
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",Referral to Finance and Expenditure Committee,2021-03-23 14:51:58
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",In Committee,2021-03-23 14:54:53
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",In Committee,2021-03-23 19:00:07
TEAM NEW ZEALAND,America's Cup Victory,2021-03-18 14:01:19
MOTIONS,Allocation of Oral Questions—Leave Declined,2021-03-18 15:05:13
APPROPRIATION (2019/20 CONFIRMATION AND VALIDATION) BILL,Second Reading,2021-03-18 15:05:54
CHILD SUPPORT AMENDMENT BILL,Third Reading,2021-03-18 15:07:27
"BUILDING (BUILDING PRODUCTS AND METHODS, MODULAR COMPONENTS, AND OTHER MATTERS) AMENDMENT BILL",Second Reading,2021-03-18 16:07:40
SECONDARY LEGISLATION BILL,Third Reading,2021-03-18 16:33:49
ADDRESS IN REPLY,Presentation to Governor-General,2021-03-17 14:01:14
CHILD PROTECTION (CHILD SEX OFFENDER GOVERNMENT AGENCY REGISTRATION) AMENDMENT BILL,First Reading,2021-03-17 15:55:35
MOTIONS,Attacks on Christchurch Masjidain—Second Anniversary,2021-03-16 14:01:18
APPROPRIATION (2019/20 CONFIRMATION AND VALIDATION) BILL,First Reading,2021-03-16 14:54:42
FINANCIAL MARKET INFRASTRUCTURES BILL,Second Reading,2021-03-16 14:55:57
COMMERCE AMENDMENT BILL,First Reading,2021-03-16 16:24:37
LOCAL GOVERNMENT (RATING OF WHENUA MĀORI) AMENDMENT BILL,Second Reading,2021-03-16 19:03:38
CHILD SUPPORT AMENDMENT BILL,In Committee,2021-03-16 19:37:45
SECONDARY LEGISLATION BILL,In Committee,2021-03-16 20:27:52
"BUILDING (BUILDING PRODUCTS AND METHODS, MODULAR COMPONENTS, AND OTHER MATTERS) AMENDMENT BILL",Second Reading,2021-03-16 21:06:25
CHILD SUPPORT AMENDMENT BILL,Second Reading,2021-03-11 14:47:59
REGULATORY SYSTEMS (TRANSPORT) AMENDMENT BILL,Second Reading,2021-03-11 15:36:09
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",Second Reading,2021-03-11 16:11:43
LOCAL GOVERNMENT (RATING OF WHENUA MĀORI) AMENDMENT BILL,Second Reading,2021-03-11 16:19:45
VOTING,"Correction—Taxation (Annual Rates for 2020-21, Feasibility Expenditure, and Remedial Matters) Bill",2021-03-11 16:36:52
LOCAL GOVERNMENT (RATING OF WHENUA MĀORI) AMENDMENT BILL,Second Reading,2021-03-11 16:37:17
MOTIONS,No Confidence in Speaker—Leave Declined,2021-03-10 14:56:30
GIRL GUIDES ASSOCIATION (NEW ZEALAND BRANCH) INCORPORATION AMENDMENT BILL,First Reading,2021-03-10 15:58:31
HARMFUL DIGITAL COMMUNICATIONS (UNAUTHORISED POSTING OF INTIMATE VISUAL RECORDING) AMENDMENT BILL,First Reading,2021-03-10 17:10:49
UNIT TITLES (STRENGTHENING BODY CORPORATE GOVERNANCE AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-03-10 17:46:28
MISUSE OF DRUGS (MEDICINAL CANNABIS) AMENDMENT BILL (NO 2),First Reading,2021-03-10 19:56:45
"CONTRACEPTION, STERILISATION, AND ABORTION (SAFE AREAS) AMENDMENT BILL",First Reading,2021-03-10 20:59:19
SPEAKER'S RULINGS,Ministerial Statements—Changes to Standing Orders,2021-03-09 14:01:37
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-03-09 14:02:27
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-03-09 14:32:44
URGENT DEBATES DECLINED,COVID-19—Alert Level Changes,2021-03-09 15:26:08
SPEAKER'S RULINGS,Urgent Debates—Updated Procedure for Applications,2021-03-09 15:26:42
URGENT DEBATES DECLINED,Mental Health and Wellbeing Commission Report—Mā Te Rongo Ake,2021-03-09 15:27:50
COVID-19 ORDERS,Approval,2021-03-09 15:28:35
CLIMATE CHANGE RESPONSE (AUCTION PRICE) AMENDMENT BILL,Second Reading,2021-03-09 15:51:05
"TAXATION (ANNUAL RATES FOR 2020-21, FEASIBILITY EXPENDITURE, AND REMEDIAL MATTERS) BILL",Second Reading,2021-03-09 20:59:29
RETIREMENTS,Assistant Serjeant-at-Arms—Jim McDonald,2021-02-25 14:01:18
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 9 to Minister, 9 December 2020",2021-02-25 14:04:45
SPECIAL DEBATES,Inquiry into New Zealand's Aid to the Pacific,2021-02-25 15:02:57
SEXUAL VIOLENCE LEGISLATION BILL,Second Reading,2021-02-25 15:59:44
REGULATORY SYSTEMS (TRANSPORT) AMENDMENT BILL,Second Reading,2021-02-25 16:24:12
LOCAL ELECTORAL (MĀORI WARDS AND MĀORI CONSTITUENCIES) AMENDMENT BILL,In Committee,2021-02-24 12:17:42
SPEAKER'S RULINGS,Points of Order—Process and Purpose,2021-02-24 14:00:24
MOTIONS,Member's Notice of Motion No. 1—Leave Declined,2021-02-24 14:57:10
LOCAL ELECTORAL (MĀORI WARDS AND MĀORI CONSTITUENCIES) AMENDMENT BILL,In Committee,2021-02-24 14:58:05
CHRISTCHURCH EARTHQUAKE OF 22 FEBRUARY 2011,10th Anniversary,2021-02-23 14:00:58
MORIORI CLAIMS SETTLEMENT BILL,First Reading,2021-02-23 15:33:52
LOCAL ELECTORAL (MĀORI WARDS AND MĀORI CONSTITUENCIES) AMENDMENT BILL,Second Reading,2021-02-23 17:23:46
INTELLIGENCE AND SECURITY COMMITTEE,Membership,2021-02-18 14:59:10
SECONDARY LEGISLATION BILL,Second Reading,2021-02-18 15:51:06
URGENT DEBATES,COVID-19—Alert Levels,2021-02-16 14:52:30
TAXATION (COVID-19 RESURGENCE SUPPORT PAYMENTS AND OTHER MATTERS) BILL,First Reading,2021-02-16 16:22:30
TAXATION (COVID-19 RESURGENCE SUPPORT PAYMENTS AND OTHER MATTERS) BILL,Third Reading,2021-02-16 17:57:50
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",First Reading,2021-02-11 14:57:09
SEXUAL VIOLENCE LEGISLATION BILL,Second Reading,2021-02-11 15:33:10
CLIMATE CHANGE RESPONSE (AUCTION PRICE) AMENDMENT BILL,First Reading,2021-02-10 19:00:25
FOOD (CONTINUATION OF DIETARY SUPPLEMENTS REGULATIONS) AMENDMENT BILL,Second Reading,2021-02-10 19:52:44
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",First Reading,2021-02-10 20:44:32
CLIMATE CHANGE RESPONSE (AUCTION PRICE) AMENDMENT BILL,Instruction to the Environment Committee—Voting,2021-02-10 21:51:33
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",First Reading,2021-02-10 20:42:37
SPEAKER'S RULINGS,Debating Chamber—Dress Code,2021-02-09 14:08:51
MOTIONS,No Confidence in Speaker—Leave Declined,2021-02-09 14:55:34
LOCAL ELECTORAL (MĀORI WARDS AND MĀORI CONSTITUENCIES) AMENDMENT BILL,First Reading,2021-02-09 19:04:51
CLIMATE CHANGE RESPONSE (AUCTION PRICE) AMENDMENT BILL,First Reading,2021-02-09 21:22:19
VOTING,Correction—Local Electoral (Māori Wards and Māori Constituencies) Amendment Bill,2021-02-09 21:43:05
CLIMATE CHANGE RESPONSE (AUCTION PRICE) AMENDMENT BILL,First Reading,2021-02-09 21:43:29
WHAKAARI / WHITE ISLAND ERUPTION,Anniversary,2020-12-09 14:00:04
INTERVENTIONS,Rt Hon Trevor Mallard—Media Statement,2020-12-09 14:12:45
ADJOURNMENT,,2020-12-09 14:54:24
SOCIAL SECURITY (FINANCIAL ASSISTANCE FOR CAREGIVERS) AMENDMENT BILL,First Reading,2020-12-09 08:59:50
WATER SERVICES BILL,First Reading,2020-12-09 09:16:50
MAORI COMMERCIAL AQUACULTURE CLAIMS SETTLEMENT AMENDMENT BILL,First Reading,2020-12-09 10:17:48
FAMILY COURT (SUPPORTING CHILDREN IN COURT) LEGISLATION BILL,First Reading,2020-12-09 11:06:16
STANDING ORDERS,Sessional,2020-12-08 19:15:36
PARLIAMENTARY SERVICE COMMISSION,Membership,2020-12-08 19:37:42
STANDING ORDERS,Sessional,2020-12-08 19:39:03
STANDING ORDERS,Sessional,2020-12-08 19:39:03
SUBORDINATE LEGISLATION CONFIRMATION BILL (NO 5),Second Reading,2020-12-08 19:46:37
RESERVE BANK OF NEW ZEALAND BILL,First Reading,2020-12-08 20:00:30
SOCIAL SECURITY (FINANCIAL ASSISTANCE FOR CAREGIVERS) AMENDMENT BILL,First Reading,2020-12-08 21:14:25
TAXATION (INCOME TAX RATE AND OTHER AMENDMENTS) BILL,In Committee,2020-12-03 08:59:28
CLIMATE CHANGE,Declaration of Climate Emergency,2020-12-02 14:51:00
TAXATION (INCOME TAX RATE AND OTHER AMENDMENTS) BILL,First Reading,2020-12-02 19:01:42
HOLIDAYS (INCREASING SICK LEAVE) AMENDMENT BILL,First Reading,2020-12-02 11:02:26
TAXATION (INCOME TAX RATE AND OTHER AMENDMENTS) BILL,Introduction,2020-12-02 12:21:11
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL,First Reading,2020-12-02 12:21:25
TAXATION (INCOME TAX RATE AND OTHER AMENDMENTS) BILL,First Reading,2020-12-02 12:32:11
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL,First Reading,2020-12-01 19:02:40
APPOINTMENTS,Deputy Speaker,2020-11-26 11:35:58
STANDING ORDERS,Sessional,2020-11-26 11:59:24
SPEAKER'S RULINGS,Behaviour in the Chamber—Dress Code,2020-11-26 16:27:24
